OObjectId,ObjectId,CgObjId,Text,CatText
50000003,51085509,50762938,Biochemistry,Minor 30
50000003,51085509,50762939,Biology,Minor 30
50000003,51085509,50762940,Chemistry,Minor 30
50000003,51085509,50762941,Earth System Science,Minor 30
50000003,51085509,50762944,Geography,Minor 30
50000003,51085509,50762945,Mathematics,Minor 30
50000003,51085509,50762946,Physics,Minor 30
50000003,51085509,50762948,Neuroinformatics,Minor 30
50000003,51085509,50762949,Bioinformatics,Minor 30
50000003,51085509,50762951,Applied Probability and Statistics,Minor 30
50000003,51085509,50762952,Astronomy and Astrobiology,Minor 30
50000003,51085509,50762953,Crystallography,Minor 30
50000003,51085509,50767888,Environmental Studies,Minor 30
50000003,51085509,50811643,Ethics,Minor 30
50000003,51085509,50811644,Cultural Contexts,Minor 30
50000003,51085509,50811645,"History, Society, Politics",Minor 30
50000003,51085509,50811646,Digital Humanities and Text Mining,Minor 30
50000003,51085509,50931095,Ethics and Society,Minor 30
50000003,51085509,51046583,Law,Minor 30
50000003,51085509,51087263,Economics,Major 150
50000003,51085509,51087264,Business Administration,Major 150
50000003,51085509,51087265,Banking and Finance,Major 150
50000003,51085509,51087266,Economics,Minor 30
50000003,51085509,51087267,Business Administration,Minor 30
50000003,51085509,51087268,Banking and Finance,Minor 30
50000003,51085509,51087269,General Business and Economics,Minor 30
50000003,51085509,51087270,Information Systems for OEC,Minor 30
50000003,51085509,51087271,People-Oriented Computing for OEC,Minor 30
50000003,51085509,51087272,Informatics,Minor 30
50000003,51085509,51101292,Computational Science,Minor 30
50000003,51085509,51156794,Biodiversity,Minor 30
50000003,51085509,51211941,Financial Mathematics,Minor 30
