ObjectId,AcademicYear,AcademicPeriod
50018319,2021,003
50018319,2022,003
50018319,2023,003
50018319,2024,003
50018319,2025,003
50018694,2021,003
50018694,2022,003
50018694,2023,003
50018694,2024,003
50018694,2025,003
50018697,2021,003
50018697,2022,003
50018697,2023,003
50018697,2024,003
50018697,2025,003
50018713,2021,003
50018713,2022,003
50018713,2023,003
50018713,2024,003
50018713,2025,003
50018734,2021,003
50018734,2022,003
50018734,2023,003
50018734,2024,003
50018734,2025,003
50019252,2021,004
50019260,2021,003
50019260,2022,003
50019260,2023,003
50019260,2024,003
50019260,2025,003
50019261,2021,004
50019261,2022,004
50019261,2023,004
50019261,2024,004
50019264,2021,004
50019264,2022,004
50019264,2023,004
50019264,2024,004
50019334,2021,003
50019439,2021,003
50019442,2021,004
50019498,2021,003
50019572,2021,004
50019942,2021,003
50020512,2021,003
50020512,2022,003
50020513,2021,004
50020513,2022,004
50020513,2023,004
50020513,2024,004
50020513,2025,004
50025938,2021,003
50025938,2022,003
50025938,2023,003
50025938,2024,003
50025938,2025,003
50025941,2021,004
50025941,2022,004
50025941,2023,004
50025941,2024,004
50026110,2021,003
50026110,2022,003
50026110,2023,003
50026110,2024,003
50026110,2025,003
50026113,2021,004
50026113,2022,004
50026113,2023,004
50026113,2024,004
50026307,2021,003
50026307,2021,004
50026307,2022,003
50026307,2022,004
50026307,2023,003
50026307,2023,004
50026307,2024,003
50026307,2024,004
50026307,2025,003
50026310,2021,003
50026310,2021,004
50026310,2022,003
50026310,2022,004
50026310,2023,003
50026310,2023,004
50026310,2024,003
50026310,2024,004
50026310,2025,003
50026315,2021,003
50026315,2022,003
50026315,2023,003
50026315,2024,003
50026315,2025,003
50026319,2021,004
50026319,2022,004
50026319,2023,004
50026319,2024,004
50026322,2021,003
50026322,2022,003
50026322,2023,003
50026322,2024,003
50026322,2025,003
50026324,2021,004
50026324,2022,004
50026324,2023,004
50026324,2024,004
50026326,2021,003
50026326,2022,003
50026326,2023,003
50026326,2024,003
50026326,2025,003
50026385,2021,004
50026385,2022,004
50026385,2023,004
50026385,2024,003
50026385,2025,003
50026387,2021,003
50026387,2021,004
50026387,2022,003
50026387,2022,004
50026387,2023,003
50026387,2023,004
50026387,2024,003
50026387,2024,004
50026958,2021,004
50026958,2022,004
50026958,2023,004
50026958,2024,004
50026987,2021,003
50026987,2021,004
50026987,2022,003
50026987,2022,004
50026987,2023,003
50026987,2023,004
50026987,2024,003
50026987,2024,004
50026987,2025,003
50026989,2021,003
50026989,2021,004
50026989,2022,003
50026989,2022,004
50026989,2023,003
50026989,2023,004
50026989,2024,003
50026989,2024,004
50026989,2025,003
50027276,2021,003
50027276,2022,003
50027276,2023,003
50027276,2024,003
50027276,2025,003
50027289,2021,004
50027289,2022,004
50027289,2023,003
50027289,2023,004
50027289,2024,003
50027289,2024,004
50027289,2025,003
50027289,2025,004
50027294,2021,004
50027294,2022,004
50027363,2021,003
50027363,2022,003
50027363,2023,003
50027363,2024,003
50027363,2025,003
50027368,2021,004
50027368,2022,004
50027368,2023,004
50027368,2024,004
50027368,2025,004
50027379,2021,003
50027379,2022,003
50027379,2023,003
50027379,2024,003
50027379,2025,003
50027381,2021,004
50027381,2022,004
50027381,2023,004
50027381,2024,004
50027381,2025,004
50027417,2021,003
50027417,2022,003
50027417,2023,003
50027417,2024,003
50027417,2025,003
50027436,2021,003
50027436,2022,003
50027436,2023,003
50027436,2024,003
50027436,2025,003
50027607,2021,003
50027607,2021,004
50027607,2022,003
50027607,2022,004
50027607,2023,003
50027607,2023,004
50027607,2024,003
50027607,2024,004
50027607,2025,003
50027666,2021,003
50027666,2021,004
50027666,2022,003
50027666,2022,004
50027666,2023,003
50027666,2023,004
50027666,2024,003
50027666,2024,004
50027666,2025,003
50027684,2021,003
50027684,2021,004
50027684,2022,003
50027684,2022,004
50027684,2023,003
50027684,2023,004
50027684,2024,003
50027684,2024,004
50027684,2025,003
50028168,2021,003
50028168,2021,004
50028168,2022,003
50028168,2022,004
50028168,2023,003
50028168,2023,004
50028168,2024,003
50028168,2024,004
50028168,2025,003
50028173,2021,003
50028173,2021,004
50028173,2022,003
50028173,2022,004
50028173,2023,003
50028173,2023,004
50028173,2024,003
50028173,2024,004
50028173,2025,003
50028175,2021,003
50028175,2021,004
50028175,2022,003
50028175,2022,004
50028175,2023,003
50028175,2023,004
50028175,2024,003
50028175,2024,004
50028175,2025,003
50028179,2021,003
50028179,2021,004
50028179,2022,003
50028179,2022,004
50028179,2023,003
50028179,2023,004
50028179,2024,003
50028179,2024,004
50028179,2025,003
50028208,2021,003
50028208,2021,004
50028208,2022,003
50028208,2022,004
50028208,2023,003
50028208,2023,004
50028208,2024,003
50028208,2024,004
50028208,2025,003
50028234,2021,003
50028234,2021,004
50028234,2022,003
50028234,2022,004
50028237,2021,003
50028237,2021,004
50028237,2022,003
50028237,2022,004
50028237,2023,003
50028237,2023,004
50028237,2024,003
50028237,2024,004
50028237,2025,003
50028241,2021,003
50028241,2021,004
50028241,2022,003
50028241,2022,004
50028241,2023,003
50028241,2023,004
50028241,2024,003
50028241,2024,004
50028241,2025,003
50028394,2021,003
50028394,2021,004
50028394,2022,003
50028394,2022,004
50028394,2023,003
50028394,2023,004
50028394,2024,003
50028394,2024,004
50028394,2025,003
50028395,2021,003
50028395,2021,004
50028395,2022,003
50028395,2022,004
50028395,2023,003
50028395,2023,004
50028395,2024,003
50028395,2024,004
50028395,2025,003
50028433,2021,003
50028433,2021,004
50028433,2022,003
50028433,2022,004
50028433,2023,003
50028433,2023,004
50028433,2024,003
50028433,2024,004
50028433,2025,003
50028462,2021,003
50028462,2021,004
50028462,2022,003
50028462,2022,004
50028462,2023,003
50028462,2023,004
50028462,2024,003
50028462,2024,004
50028462,2025,003
50028571,2021,003
50028571,2022,004
50028579,2021,003
50028579,2022,003
50028579,2023,003
50028579,2024,003
50028668,2021,004
50028668,2022,004
50028668,2023,004
50028674,2021,003
50028674,2022,003
50028674,2023,003
50028674,2024,003
50028680,2021,003
50028680,2021,004
50028680,2022,004
50028680,2023,004
50028680,2025,003
50028682,2021,003
50028682,2022,003
50028682,2023,003
50028682,2024,003
50028682,2025,003
50028683,2021,003
50028683,2022,003
50028683,2023,003
50028683,2024,003
50028683,2025,003
50028685,2021,003
50028685,2022,003
50028685,2023,003
50028685,2024,003
50028685,2025,003
50028687,2021,004
50028687,2022,004
50028687,2023,004
50028689,2021,004
50028689,2022,004
50028689,2023,004
50028689,2024,004
50028690,2021,004
50028690,2022,004
50028690,2023,004
50028693,2021,004
50028693,2022,004
50028695,2021,003
50028695,2022,003
50028695,2023,003
50028695,2024,003
50028696,2021,003
50028696,2022,003
50028696,2023,003
50028696,2024,003
50028696,2025,003
50028697,2021,003
50028697,2022,003
50028697,2023,003
50028697,2024,003
50028697,2025,003
50028699,2021,003
50028699,2022,003
50028699,2023,003
50028699,2024,003
50028699,2025,003
50028702,2021,004
50028702,2022,004
50028702,2023,004
50028702,2024,004
50028702,2025,004
50028706,2021,004
50028706,2022,004
50028706,2023,004
50028706,2024,004
50028706,2025,004
50028708,2021,004
50028708,2022,004
50028708,2023,004
50028708,2024,004
50028708,2025,004
50028710,2021,004
50028710,2022,004
50028710,2023,004
50028710,2024,004
50028710,2025,004
50028713,2021,004
50028713,2022,004
50028713,2023,004
50028713,2024,004
50028713,2025,004
50028717,2021,003
50028717,2022,003
50028717,2023,003
50028717,2024,003
50028717,2025,003
50028720,2021,003
50028720,2022,003
50028720,2023,003
50028720,2024,003
50028720,2025,003
50028721,2021,003
50028721,2022,003
50028721,2023,003
50028721,2024,003
50028721,2025,003
50028723,2021,003
50028723,2022,003
50028723,2023,003
50028723,2024,003
50028723,2025,003
50028725,2021,004
50028725,2022,004
50028730,2021,004
50028730,2022,004
50028730,2023,004
50028730,2024,004
50028921,2021,003
50028921,2021,004
50028921,2022,003
50028921,2022,004
50028921,2023,003
50028921,2023,004
50028921,2024,003
50028921,2024,004
50028921,2025,003
50028922,2021,003
50028922,2021,004
50028922,2022,003
50028922,2022,004
50028922,2023,003
50028944,2021,003
50028944,2021,004
50028944,2022,003
50028944,2022,004
50028944,2023,003
50028944,2023,004
50028944,2024,003
50028944,2024,004
50028944,2025,003
50028945,2021,003
50028945,2021,004
50028945,2022,003
50028945,2022,004
50028945,2023,003
50028945,2023,004
50028945,2024,003
50028945,2024,004
50028945,2025,003
50028949,2021,003
50028951,2021,003
50028951,2021,004
50028951,2022,003
50028951,2022,004
50028951,2023,003
50028951,2023,004
50028951,2024,003
50028951,2024,004
50028951,2025,003
50028969,2021,003
50028989,2021,003
50028989,2021,004
50028989,2022,003
50028989,2022,004
50028989,2023,003
50028989,2023,004
50028989,2024,003
50028989,2024,004
50028989,2025,003
50028990,2021,003
50028990,2021,004
50028990,2022,003
50028990,2022,004
50028990,2023,003
50028990,2023,004
50028990,2024,003
50028990,2024,004
50028990,2025,003
50029000,2021,003
50029000,2021,004
50029000,2022,003
50029000,2022,004
50029000,2023,003
50029000,2023,004
50029000,2024,003
50029000,2024,004
50029000,2025,003
50029003,2021,003
50029003,2021,004
50029003,2022,003
50029003,2022,004
50029003,2023,003
50029003,2023,004
50029003,2024,003
50029003,2024,004
50029003,2025,003
50029007,2021,003
50029007,2021,004
50029007,2022,003
50029007,2022,004
50029007,2023,003
50029007,2023,004
50029007,2024,003
50029007,2024,004
50029007,2025,003
50029009,2021,003
50029009,2021,004
50029009,2022,003
50029009,2022,004
50029009,2023,003
50029009,2023,004
50029009,2024,003
50029009,2024,004
50029009,2025,003
50029012,2021,003
50029012,2021,004
50029012,2022,003
50029012,2022,004
50029012,2023,003
50029012,2023,004
50029012,2024,003
50029012,2024,004
50029012,2025,003
50029013,2021,003
50029013,2021,004
50029013,2022,003
50029013,2022,004
50029013,2023,003
50029013,2023,004
50029013,2024,003
50029013,2024,004
50029013,2025,003
50029014,2021,003
50029014,2021,004
50029014,2022,003
50029014,2022,004
50029014,2023,003
50029014,2023,004
50029014,2024,003
50029014,2024,004
50029014,2025,003
50029015,2021,003
50029015,2021,004
50029015,2022,003
50029015,2022,004
50029015,2023,003
50029015,2023,004
50029015,2024,003
50029015,2024,004
50029015,2025,003
50029016,2021,003
50029016,2021,004
50029016,2022,003
50029016,2022,004
50029016,2023,003
50029016,2023,004
50029016,2024,003
50029016,2024,004
50029016,2025,003
50029017,2021,003
50029017,2021,004
50029017,2022,003
50029017,2022,004
50029017,2023,003
50029017,2023,004
50029017,2024,003
50029017,2024,004
50029017,2025,003
50029021,2021,003
50029021,2021,004
50029021,2022,003
50029021,2022,004
50029021,2023,003
50029021,2023,004
50029021,2024,003
50029021,2024,004
50029021,2025,003
50029028,2021,003
50029028,2021,004
50029028,2022,003
50029028,2022,004
50029028,2023,003
50029028,2023,004
50029028,2024,003
50029028,2024,004
50029028,2025,003
50029034,2021,003
50029034,2021,004
50029034,2022,003
50029034,2022,004
50029034,2023,003
50029034,2023,004
50029034,2024,003
50029034,2024,004
50029034,2025,003
50029035,2021,003
50029035,2021,004
50029035,2022,003
50029035,2022,004
50029035,2023,003
50029035,2023,004
50029035,2024,003
50029035,2024,004
50029035,2025,003
50029036,2021,003
50029036,2021,004
50029036,2022,003
50029036,2022,004
50029036,2023,003
50029036,2023,004
50029036,2024,003
50029036,2024,004
50029036,2025,003
50029038,2021,003
50029038,2021,004
50029038,2022,003
50029038,2022,004
50029038,2023,003
50029038,2023,004
50029038,2024,003
50029038,2024,004
50029038,2025,003
50029043,2021,003
50029043,2021,004
50029043,2022,003
50029043,2022,004
50029043,2023,003
50029043,2023,004
50029043,2024,003
50029043,2024,004
50029043,2025,003
50029046,2021,003
50029046,2021,004
50029046,2022,003
50029046,2022,004
50029046,2023,003
50029046,2023,004
50029046,2024,003
50029046,2024,004
50029046,2025,003
50029047,2021,003
50029047,2021,004
50029047,2022,003
50029047,2022,004
50029047,2023,003
50029047,2023,004
50029047,2024,003
50029047,2024,004
50029047,2025,003
50029052,2021,003
50029052,2021,004
50029052,2022,003
50029052,2022,004
50029052,2023,003
50029052,2023,004
50029052,2024,003
50029052,2024,004
50029052,2025,003
50029054,2021,003
50029054,2021,004
50029054,2022,003
50029054,2022,004
50029054,2023,003
50029054,2023,004
50029054,2024,003
50029054,2024,004
50029054,2025,003
50029056,2021,003
50029056,2021,004
50029056,2022,003
50029056,2022,004
50029056,2023,003
50029056,2023,004
50029056,2024,003
50029056,2024,004
50029056,2025,003
50029057,2021,003
50029057,2021,004
50029057,2022,003
50029057,2022,004
50029057,2023,003
50029057,2023,004
50029057,2024,003
50029057,2024,004
50029057,2025,003
50029058,2021,003
50029058,2021,004
50029058,2022,003
50029058,2022,004
50029058,2023,003
50029058,2023,004
50029058,2024,003
50029058,2024,004
50029058,2025,003
50029061,2021,003
50029061,2021,004
50029061,2022,003
50029061,2022,004
50029061,2023,003
50029061,2023,004
50029061,2024,003
50029061,2024,004
50029061,2025,003
50029072,2021,003
50029072,2021,004
50029072,2022,003
50029072,2022,004
50029072,2023,003
50029072,2023,004
50029072,2024,003
50029072,2024,004
50029072,2025,003
50029074,2021,003
50029074,2021,004
50029074,2022,003
50029074,2022,004
50029074,2023,003
50029074,2023,004
50029074,2024,003
50029074,2024,004
50029074,2025,003
50029082,2021,003
50029082,2021,004
50029082,2022,003
50029082,2022,004
50029082,2023,003
50029082,2023,004
50029082,2024,003
50029082,2024,004
50029082,2025,003
50029083,2021,003
50029083,2021,004
50029083,2022,003
50029083,2022,004
50029083,2023,003
50029083,2023,004
50029083,2024,003
50029083,2024,004
50029083,2025,003
50029084,2021,003
50029084,2021,004
50029084,2022,003
50029084,2022,004
50029084,2023,003
50029084,2023,004
50029084,2024,003
50029084,2024,004
50029084,2025,003
50029097,2021,003
50029097,2021,004
50029097,2022,003
50029097,2022,004
50029097,2023,003
50029097,2023,004
50029097,2024,003
50029097,2024,004
50029097,2025,003
50029099,2021,003
50029099,2021,004
50029099,2022,003
50029099,2022,004
50029099,2023,003
50029099,2023,004
50029099,2024,003
50029099,2024,004
50029099,2025,003
50029147,2021,003
50029147,2021,004
50029147,2022,003
50029147,2022,004
50029147,2023,003
50029147,2023,004
50029147,2024,003
50029147,2024,004
50029147,2025,003
50029156,2021,003
50029156,2021,004
50029156,2022,003
50029156,2022,004
50029156,2023,003
50029156,2023,004
50029156,2024,003
50029156,2024,004
50029156,2025,003
50029158,2021,003
50029158,2021,004
50029158,2022,003
50029158,2022,004
50029158,2023,003
50029158,2023,004
50029158,2024,003
50029158,2024,004
50029158,2025,003
50029162,2021,003
50029162,2021,004
50029162,2022,003
50029162,2022,004
50029162,2023,003
50029162,2023,004
50029162,2024,003
50029162,2024,004
50029162,2025,003
50029164,2021,003
50029164,2021,004
50029164,2022,003
50029164,2022,004
50029164,2023,003
50029164,2023,004
50029164,2024,003
50029164,2024,004
50029168,2021,003
50029168,2022,003
50029168,2023,003
50029168,2024,003
50029168,2025,003
50029176,2021,003
50029176,2021,004
50029176,2022,003
50029176,2022,004
50029176,2023,003
50029176,2023,004
50029176,2024,003
50029176,2024,004
50029176,2025,003
50029177,2021,003
50029177,2021,004
50029177,2022,003
50029177,2022,004
50029177,2023,003
50029177,2023,004
50029177,2024,003
50029177,2024,004
50029177,2025,003
50029186,2021,003
50029186,2021,004
50029186,2022,003
50029186,2022,004
50029186,2023,003
50029186,2023,004
50029186,2024,003
50029186,2024,004
50029186,2025,003
50029187,2021,003
50029187,2021,004
50029187,2022,003
50029187,2022,004
50029187,2023,003
50029187,2023,004
50029187,2024,003
50029187,2024,004
50029187,2025,003
50029188,2021,003
50029188,2021,004
50029188,2022,003
50029188,2022,004
50029188,2023,003
50029188,2023,004
50029188,2024,003
50029188,2024,004
50029188,2025,003
50029194,2021,003
50029194,2021,004
50029194,2022,003
